Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C105, C107",C_0603,4,100nF,C14663
"C103, C114, C115, C116, C117, C118, C119, C120, C121, C123, C124",C_0402,11,100nF,C1525
"C104, C106",C_1206,2,10uF,C13585
"C108, C111",C_0402,2,47pF,C1567
"C109, C110, C112, C113, C122",C_1206,5,22uF,C12891
"D101, D102, D103, D104, D106, D107, D108, D109, D110",D_0603,9,Red,C2286
D105,D_SOD-323,1,B5818WS,C22466361
J101,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Conn_01x02,
"J102, J103, J104, J105, J106",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,5,Conn_01x02,
"J107, J109, J111, J112, J114, J116, J119",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,7,Conn_01x04,
"J108, J110, J113, J115, J117, J118, J120, J121",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,8,Conn_01x03,
JP102,Z7-lite,1,~,
"L101, L102",L_APV_APH1050,2,SL1050-100M,
"Q101, Q103, Q104, Q105, Q106",Q_SOT-23,5,2N7002,C8545
Q102,Q_SOT-23,1,SI2301CDS-T1-GE3,C10487
"R101, R102, R119, R127, R154, R155, R156, R157",R_0402,8,1kΩ,C11702
"R103, R104, R116, R124, R132",R_0402,5,100kΩ,C25741
"R105, R106, R115, R121, R122, R123, R129, R130, R131, R135, R136, R139, R144, R145, R148",R_0402,15,100Ω,C25076
R107,R_1206,1,120Ω,C17909
"R109, R110, R114, R118, R120, R126, R128, R134, R137, R138, R140, R141, R143, R146, R147, R149, R150, R151, R152, R153",R_0402,20,10kΩ,C25744
"R111, R112",R_0402,2,3.3kΩ,C25890
"R117, R125, R133, R142",R_0402,4,330Ω,C25104
TP101,TestPoint_Pad_D1.0mm,1,TestPoint,
"TP102, TP103, TP104, TP105",TestPoint_THTPad_D1.0mm_Drill0.5mm,4,TestPoint,
"U101, U102",SOT-23-6,2,TPS54302,
U103,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
"U104, U105",SOT-23-6,2,SN74LVC1T45DBV,
U106,XIAO-ESP32-C3-DIP,1,XIAO-ESP32-C3-DIP,
